endTime,artistName,trackName,msPlayed
2024-02-01 23:43,One Direction,18,126661
2024-02-02 00:13,Ludovico Einaudi,Experience,1655
2024-02-02 00:18,Ludovico Einaudi,Nuvole Bianche,305085
2024-02-02 13:32,One Direction,18,122705
2024-02-02 13:35,Seafret,Atlantis,229173
2024-02-02 13:38,Alec Benjamin,Let Me Down Slowly,169353
2024-02-02 14:21,Taylor Swift,Wildest Dreams (Taylor's Version),144754
2024-02-02 14:24,Ashe,Moral of the Story (feat. Niall Horan) - Bonus Track,198515
2024-02-02 14:27,The Rose,RED,8594
2024-02-02 14:27,NIKI,lowkey,171355
2024-02-02 14:35,Ed Sheeran,Photograph,450293
2024-02-02 15:01,BTS,The Truth Untold (feat. Steve Aoki),1996
2024-02-02 15:06,Ed Sheeran,Photograph,258986
2024-02-02 15:06,BTS,The Truth Untold (feat. Steve Aoki),0
2024-02-02 15:16,Bruno Mars,Marry You,41528
2024-02-02 16:21,Mickey J. Meyer,Mari Antaga,74881
2024-02-02 16:22,Sid Sriram,Urike Urike,5203
2024-02-02 16:22,Arijit Singh,Kanulanu Thaake,8524
2024-02-02 16:24,Justin Prabhakaran,"Vaa Senthaazhini - From ""Adiyae""",162579
2024-02-02 16:25,Karthik,Nijanga Nenena,54538
2024-02-02 16:30,Binni Krishnakumar,Raa Raa,237014
2024-02-02 16:31,Karthik,Chilipiga,3603
2024-02-02 16:31,Binni Krishnakumar,Raa Raa,34243
2024-02-02 16:32,Anurag Kulkarni,Singles Anthem - Telugu,66422
2024-02-02 16:32,Karunya,Ola Olaala Ala,4917
2024-02-02 16:32,Devi Sri Prasad,Uppenantha,9784
2024-02-02 16:32,Thaman S,Ramuloo Ramulaa,16168
2024-02-02 16:33,Chinna Ponnu,Mirchi,34908
2024-02-02 16:45,"Tippu, Chaitra",Oola Ulala,17346
2024-02-02 17:37,TAEMIN,Advice,191640
2024-02-02 18:32,HOSHI,Spider,181465
2024-02-02 18:41,Devi Sri Prasad,Ninnu Chudagaane,628
2024-02-02 18:46,Sid Sriram,Urike Urike,275625
2024-02-02 18:47,Devi Sri Prasad,Ninnu Chudagaane,60139
2024-02-02 19:04,Sagar,Aakasam Badhalaina,86006
2024-02-02 20:11,Sonicbrat,"Murmurations, Pt. III",206599
2024-02-02 23:37,Sagar,Aakasam Badhalaina,3784
2024-02-03 01:46,Karthik,Nijanga Nenena,319164
2024-02-03 01:49,Devi Sri Prasad,"Srivalli (From ""Pushpa - The Rise"")(Telugu)",221000
2024-02-03 01:53,M. M. Keeravaani,Konchem Konchem,244533
2024-02-03 01:54,Ajay Arasada,Neetho Unta,52227
2024-02-03 01:59,"Harshika Gudi, Anudeep Dev",Uyyalaina Jampalaina,263158
2024-02-03 02:03,Justin Prabhakaran,"Vaa Senthaazhini - From ""Adiyae""",252083
2024-02-03 02:19,Devi Sri Prasad,Ninnu Chudagaane,154970
2024-02-03 07:46,Jorge Rivera-Herrans,The Horse and the Infant,233001
2024-02-03 07:48,Jorge Rivera-Herrans,Just a Man,149951
2024-02-03 07:51,Jorge Rivera-Herrans,Full Speed Ahead,180610
2024-02-03 07:55,Jorge Rivera-Herrans,Open Arms,199132
2024-02-03 07:58,Jorge Rivera-Herrans,Warrior of the Mind,207977
2024-02-03 07:59,Alec Benjamin,If I Killed Someone For You,0
2024-02-03 07:59,Jorge Rivera-Herrans,Survive,10571
2024-02-03 08:03,Jorge Rivera-Herrans,Polyphemus,215910
2024-02-03 08:06,Jorge Rivera-Herrans,Survive,195436
2024-02-03 08:10,Jorge Rivera-Herrans,Remember Them,248001
2024-02-03 08:16,Jorge Rivera-Herrans,My Goodbye,197714
2024-02-03 08:18,Jorge Rivera-Herrans,Storm,162906
2024-02-03 08:21,Jorge Rivera-Herrans,Luck Runs Out,181334
2024-02-03 08:26,Jorge Rivera-Herrans,Keep Your Friends Close,247495
2024-02-03 08:30,Jorge Rivera-Herrans,Ruthlessness,262556
2024-02-03 08:31,Jorge Rivera-Herrans,Just a Man,1298
2024-02-04 15:58,Jorge Rivera-Herrans,Storm,162909
2024-02-04 15:59,Jorge Rivera-Herrans,Ruthlessness,15398
2024-02-04 15:59,Jorge Rivera-Herrans,Luck Runs Out,24061
2024-02-04 16:10,Ludovico Einaudi,"The Braid - From ""La Tresse"" Soundtrack",14410
2024-02-04 23:46,Ludovico Einaudi,"The Braid - From ""La Tresse"" Soundtrack",2580
2024-02-04 23:50,Jorge Rivera-Herrans,Storm,158963
2024-02-04 23:57,Jorge Rivera-Herrans,Luck Runs Out,193137
2024-02-05 00:06,Jorge Rivera-Herrans,Keep Your Friends Close,12167
2024-02-05 00:15,Alec Benjamin,Pick Me,178707
2024-02-05 00:18,Alec Benjamin,I Sent My Therapist To Therapy,180923
2024-02-05 00:21,Alec Benjamin,Different Kind Of Beautiful,201007
2024-02-05 00:37,Alec Benjamin,Pick Me,330283
2024-02-05 00:52,Alec Benjamin,I Sent My Therapist To Therapy,64931
2024-02-05 01:26,Maddie Wilson,A Million Dreams,1651
2024-02-05 01:30,Ziv Zaifman,A Million Dreams,269453
2024-02-05 01:34,Ziv Zaifman,A Million Dreams,226468
2024-02-05 01:37,Shakira,Waka Waka (This Time for Africa) - K-Mix,183946
2024-02-05 01:42,Shakira,Waka Waka (This Time for Africa) - K-Mix,178893
2024-02-05 01:53,Mickey J. Meyer,Waka Waka - Telugu,80800
2024-02-05 02:03,Jai Matt,Jimikki Kammal - Remix,26726
2024-02-05 02:04,Thiruvallur Gana Akash,Jimmiki Kammal,72513
2024-02-05 02:09,Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",1887
2024-02-05 02:09,Vineeth Sreenivasan,Entammede Jimikki Kammal,206265
2024-02-05 02:10,Madhu Priya,Vachinde,39868
2024-02-05 02:22,Vishal Dadlani,Tu Meri,106581
2024-02-05 03:57,Vishal Dadlani,Tu Meri,248222
2024-02-05 13:22,Vishal Dadlani,Tu Meri,9888
2024-02-05 13:32,Vishal Dadlani,Tu Meri,591668
2024-02-05 13:47,Harshdeep Kaur,Uff,266205
2024-02-05 14:31,Harshdeep Kaur,Uff,490725
2024-02-05 14:54,Falak Shabbir,Mera Mann Kehne Laga,36887
2024-02-05 16:18,Falak Shabbir,Mera Mann Kehne Laga,227334
2024-02-05 16:24,A.R. Rahman,Hosanna,331400
2024-02-05 16:28,Vishal Dadlani,Tu Meri,257089
2024-02-05 16:38,Vishal Dadlani,Tu Meri,16450
2024-02-05 18:22,Vishal Dadlani,Tu Meri,318019
2024-02-05 18:32,A.R. Rahman,Hosanna,590141
2024-02-05 18:40,Harshdeep Kaur,Uff,503771
2024-02-05 18:44,Falak Shabbir,Mera Mann Kehne Laga,227334
2024-02-05 18:48,Vishal Dadlani,Tu Meri,257089
2024-02-05 18:54,A.R. Rahman,Hosanna,331400
2024-02-05 18:59,Harshdeep Kaur,Uff,272112
2024-02-05 19:13,Vishal Dadlani,Tu Meri,253299
2024-02-05 20:30,Sid Sriram,Maguva Maguva - Telugu,250666
2024-02-05 20:34,"Harshika Gudi, Anudeep Dev",Uyyalaina Jampalaina,263158
2024-02-05 21:42,Sid Sriram,Urike Urike,191077
2024-02-05 23:57,Mickey J. Meyer,Mari Antaga,1288
2024-02-05 23:57,M. M. Keeravaani,Konchem Konchem,1098
2024-02-05 23:57,Arijit Singh,Kanulanu Thaake,1719
2024-02-05 23:57,Devi Sri Prasad,Ninnu Chudagaane,7563
2024-02-05 23:57,Ajay Arasada,Neetho Unta,937
2024-02-05 23:57,Binni Krishnakumar,Raa Raa,825
2024-02-05 23:57,Karthik,Yenno Yenno,2071
2024-02-05 23:57,Unni Menon,Vaalu Kanuladaanaa,1152
2024-02-05 23:57,Justin Prabhakaran,"Vaa Senthaazhini - From ""Adiyae""",1233
2024-02-05 23:57,Devi Sri Prasad,"Srivalli (From ""Pushpa - The Rise"")(Telugu)",1018
2024-02-05 23:57,Lewis Capaldi,Forever,210863
2024-02-05 23:57,Hiphop Tamizha,Nee Nenacha,1897
2024-02-05 23:57,Karthik,Nijanga Nenena,932
2024-02-06 00:01,Lewis Capaldi,Wish You The Best,210880
2024-02-06 00:19,Lewis Capaldi,Before You Go,114475
2024-02-06 02:51,Lewis Capaldi,Before You Go,220272
2024-02-06 03:04,Lewis Capaldi,Bruises,156979
2024-02-06 03:31,Vineeth Sreenivasan,Entammede Jimikki Kammal,155372
2024-02-06 03:32,Madhu Priya,Vachinde,96967
2024-02-06 03:38,Armaan Malik,Buttabomma - Telugu,8980
2024-02-06 05:17,Ed Sheeran,Thinking out Loud,281560
2024-02-06 05:21,Coldplay,A Sky Full of Stars,267866
2024-02-06 05:24,Taylor Swift,Cruel Summer,8324
2024-02-06 05:24,Neon Trees,Everybody Talks,177280
2024-02-06 05:35,One Direction,Story of My Life,57153
2024-02-06 12:33,One Direction,Story of My Life,188356
2024-02-06 12:37,James Arthur,Can I Be Him,246880
2024-02-06 12:49,NIKI,lowkey,133469
2024-02-06 13:20,Alec Benjamin,Mind Is A Prison,161697
2024-02-06 13:31,Rex Orange County,Television / So Far So Good,220689
2024-02-06 17:34,Rex Orange County,Television / So Far So Good,42953
2024-02-06 17:37,SEVENTEEN,VERY NICE,192092
2024-02-06 17:41,iKON,LOVE SCENARIO,209648
2024-02-06 17:44,James Arthur,Say You Won't Let Go,211466
2024-02-06 17:48,Taylor Swift,Getaway Car,233626
2024-02-06 17:51,Alec Benjamin,Let Me Down Slowly,169353
2024-02-06 17:54,Andy Grammer,Don't Give Up On Me,196187
2024-02-06 18:04,Imagine Dragons,Demons,873
2024-02-06 18:25,Andy Grammer,Don't Give Up On Me,4128
2024-02-06 18:25,Imagine Dragons,Demons,2818
2024-02-06 18:26,Alec Benjamin,Let Me Down Slowly,897
2024-02-06 18:29,Andy Grammer,Don't Give Up On Me,196187
2024-02-06 18:32,Imagine Dragons,Demons,175200
2024-02-06 18:44,Cigarettes After Sex,Apocalypse,92090
2024-02-06 18:53,Cigarettes After Sex,Apocalypse,480
2024-02-06 18:59,OneRepublic,I Lived,234546
2024-02-06 19:02,Alec Benjamin,I Built A Friend (2020),176693
2024-02-06 19:05,SEVENTEEN,Adore U,186649
2024-02-06 19:08,Set It Off,Wolf in Sheep's Clothing (feat. William Beckett),187880
2024-02-06 19:12,James Arthur,Falling Like The Stars,209968
2024-02-06 19:12,Zac Efron,Rewrite The Stars,1601
2024-02-06 19:16,FINNEAS,Break My Heart Again,237979
2024-02-06 19:19,Olivia Rodrigo,"Wondering - From ""High School Musical: The Musical: The Series""",225381
2024-02-06 19:20,ONE OK ROCK,Stand Out Fit In,45013
2024-02-06 19:20,The Neighbourhood,Sweater Weather,2187
2024-02-06 19:26,ONE OK ROCK,Stand Out Fit In,188001
2024-02-06 19:32,Ludovico Einaudi,"The Braid - From ""La Tresse"" Soundtrack",364338
2024-02-06 19:35,Ludovico Einaudi,Love Is A Mystery,182213
2024-02-06 19:37,Ludovico Einaudi,Inizio,83823
2024-02-06 19:40,Blurred Figures,flower dance,169382
2024-02-06 19:42,Towerz,to fall,127235
2024-02-06 19:45,Goson,Blue Sky,154841
2024-02-06 19:48,Goson,Soothing Rainfall,168872
2024-02-06 19:50,Alto,Secret Departure,131999
2024-02-06 19:52,Team Astro,Blooming,141814
2024-02-06 19:54,Bcalm,pure,128710
2024-02-06 19:57,Tatami Construct,dew slate,132492
2024-02-06 20:00,Hoogway,First Time We Met,173418
2024-02-06 20:03,Hoogway,Endless,181158
2024-02-06 20:05,Living Room,Flow,135287
2024-02-06 20:08,xander.,Wish You Were Honest,154617
