endTime,artistName,trackName,msPlayed
2024-02-01 23:39,Action Bronson,White Silk,67207
2024-02-02 00:09,Action Bronson,White Silk,831
2024-02-02 00:19,Don Diablo,WTF R U!?,25152
2024-02-02 00:22,Lucky Luke,Give It To Me,186239
2024-02-02 00:38,Missy Elliott,U Can't Resist (feat. Juvenile & B.G.),104843
2024-02-02 00:40,DR. GABBA,Plasma,89600
2024-02-02 00:43,Lucky Luke,Give It To Me,186238
2024-02-02 00:46,XXXTENTACION,infinity (888) - feat. Joey Bada$$,176590
2024-02-02 01:08,Cherub,Doses & Mimosas,38942
2024-02-02 01:14,DR. GABBA,Plasma,251904
2024-02-02 01:18,NERO,Promises - Skrillex & Nero Remix,268706
2024-02-02 01:20,D.O.D,Isolate,53683
2024-02-02 01:24,Tory Lanez,The Color Violet,226466
2024-02-02 01:31,Cherub,Doses & Mimosas,323253
2024-02-02 01:45,Pharrell Williams,Down In Atlanta,94440
2024-02-02 01:46,DR. GABBA,Plasma,2453
2024-02-02 01:49,21 Savage,No Opp Left Behind,194214
2024-02-02 02:31,MGMT,Kids,233337
2024-02-02 03:03,DR. GABBA,Plasma,98922
2024-02-02 03:03,kryptogram,Woman Like You,6741
2024-02-02 03:08,kryptogram,Sneak Away With Me,306000
2024-02-02 03:13,Gala,"Freed From Desire (Full Vocals Mixx) - prod. Molella, Phil Jay",255529
2024-02-02 04:52,Avancada,Xplode (ASOT 830) - Graham Bell & Yoel Lewis Remix,24177
2024-02-02 05:53,Tobiahs,Lifetime,28736
2024-02-02 05:53,DR. GABBA,Plasma,1216
2024-02-02 05:53,Lucky Luke,Give It To Me,48810
2024-02-02 06:00,Shamoryo,All Eyez On Me,165581
2024-02-02 06:13,Quavo,SHINE,103891
2024-02-02 06:13,Lucky Luke,Give It To Me,6400
2024-02-02 15:13,Lykke Li,I Follow Rivers - The Magician Remix,7210
2024-02-02 15:13,Empire Of The Sun,Walking On A Dream,47914
2024-02-02 15:14,Gala,"Freed From Desire (Full Vocals Mixx) - prod. Molella, Phil Jay",57791
2024-02-02 16:22,Joel Corry,The Parade,2570
2024-02-02 16:25,Lucky Luke,Give It To Me,186238
2024-02-02 16:28,Kendrick Lamar,You Ain't Gotta Lie (Momma Said),167098
2024-02-02 16:31,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),212352
2024-02-02 16:34,Cage The Elephant,Ain't No Rest for the Wicked,175493
2024-02-02 16:38,Carnage,Bricks (feat. Migos),264000
2024-02-02 16:41,CASSIMM,Is It All Over My Face,186240
2024-02-02 16:46,Rihanna,Umbrella,275986
2024-02-02 16:49,Bas,Purge,186613
2024-02-02 16:52,Baby Keem,APOLOGIZE,213473
2024-02-02 16:53,A$AP Ferg,"New Level REMIX (feat. Future, A$AP Rocky & Lil Uzi Vert)",20388
2024-02-02 16:53,Young Stoner Life,Take It to Trial (feat. Yak Gotti),39260
2024-02-02 16:56,DR. GABBA,Plasma,166460
2024-02-02 16:58,$uicideboy$,Paris,111020
2024-02-02 17:01,Kid Cudi,By Design,201896
2024-02-02 17:04,Kanye West,True Love,148570
2024-02-02 17:18,Martin Garrix,Together,177966
2024-02-02 17:22,Lucky Luke,Give It To Me,11648
2024-02-02 17:27,DR. GABBA,Plasma,251904
2024-02-02 17:30,Calvin Harris,Under Control (feat. Hurts),184280
2024-02-02 17:30,Sia,Move Your Body - Alan Walker Remix,16339
2024-02-02 17:33,Coufin,All Eyez On Me Gangsta Remix,42367
2024-02-02 17:35,Trippie Redd,Dark Knight Dummo (feat. Travis Scott),115584
2024-02-02 17:38,Travis Scott,ASTROTHUNDER,22101
2024-02-02 17:50,21 Savage,Rap Saved Me (feat. Quavo),182911
2024-02-02 17:52,Travis Scott,Wasted (feat. Juicy J),1880
2024-02-02 17:52,Lucky Luke,Give It To Me,112848
2024-02-02 17:57,Don Toliver,Best You Had,140063
2024-02-02 18:01,Baby Keem,trademark usa,270670
2024-02-02 18:02,Pitbull,Give Me Everything (feat. Nayer),35715
2024-02-02 18:05,Coufin,All Eyez On Me Gangsta Remix,89838
2024-02-02 18:09,Riton,Fake ID,42538
2024-02-02 18:15,Teedra Moses,Be Your Girl (Kaytranada Edition),268087
2024-02-02 18:15,IAMNOBODI,Separated,6639
2024-02-02 18:18,Gamblers,Another Dose (feat. Mick Jenkins),138760
2024-02-02 18:45,Duckwrth,I'M DEAD,204099
2024-02-02 18:47,Riton,Fake ID (Coke & Rum Remix),109951
2024-02-02 18:48,Cabu,Sun Moon,101162
2024-02-02 18:52,Myd,The Sun,207373
2024-02-02 18:54,KAYTRANADA,Need It (feat. Masego),137706
2024-02-02 18:57,Jungle,Candle Flame,174020
2024-02-02 19:55,Aluna,The Recipe,172793
2024-02-02 19:58,Lucky Luke,Give It To Me,186239
2024-02-02 20:00,TheFatRat,Xenogenesis,90933
2024-02-02 23:00,Lucky Luke,Give It To Me,11795
