endTime,artistName,trackName,msPlayed
2024-02-02 00:08,Unknown Artist,Unknown Track,6190
2024-02-02 00:10,Mild High Club,Kokopelli,158570
2024-02-02 00:12,Pity Party (Girls Club),I hope that you think of me,113004
2024-02-02 00:14,Steve Lacy,Ryd,112806
2024-02-02 00:17,Mac DeMarco,My Kind of Woman,178558
2024-02-02 00:20,Unknown Artist,Unknown Track,2037
2024-02-02 00:20,Unknown Artist,Unknown Track,7523
2024-02-02 00:20,Ralph Castelli,Morning Sex,168912
2024-02-02 00:29,C418,Subwoofer Lullaby,279470
2024-02-02 00:30,C418,Axolotl,7105
2024-02-02 00:30,C418,Beginning 2,46444
2024-02-02 00:30,C418,Dragon Fish,5572
2024-02-02 00:31,C418,Sweden,64505
2024-02-02 00:32,Kid Cudi,Cudi Zone,812
2024-02-02 00:32,Kid Cudi,Just What I Am,1021
2024-02-02 00:32,Mitski,Pink in the Night,30627
2024-02-02 00:32,Cody Fry,Underground,835
2024-02-02 00:32,Reinaeiry,Immortal,1184
2024-02-02 00:32,Unknown Artist,Unknown Track,23
2024-02-02 00:32,Idman,Hate,603
2024-02-02 00:32,Charlotte Day Wilson,I Can Only Whisper (feat. BADBADNOTGOOD),3366
2024-02-02 00:32,Unknown Artist,Unknown Track,4963
2024-02-02 00:32,dodie,She,928
2024-02-02 00:32,Kid Cudi,Up Up & Away,719
2024-02-02 00:32,Nonso Amadi,Different (with Majid Jordan),1068
2024-02-02 00:32,Kid Cudi,Day 'N' Nite (nightmare),1323
2024-02-02 00:32,The Amazing Devil,That Unwanted Animal,1114
2024-02-02 00:32,Chris Brown,No Guidance (feat. Drake),2368
2024-02-02 00:32,River Tiber,Gravity,6053
2024-02-02 00:32,Kid Cudi,Do What I Want,1253
2024-02-02 00:33,Unknown Artist,Unknown Track,20035
2024-02-02 00:34,Kanye West,On Sight,11261
2024-02-02 00:34,MF DOOM,Rhymes Like Dimes,61360
2024-02-02 00:34,"Tyler, The Creator",Colossus,2414
2024-02-02 00:34,"Tyler, The Creator",Colossus,8243
2024-02-02 00:34,Unknown Artist,Unknown Track,2533
2024-02-02 00:34,Kendrick Lamar,The Recipe - Bonus Track,3343
2024-02-02 00:34,Earl Sweatshirt,Chum,5642
2024-02-02 00:34,Earl Sweatshirt,Chum,5270
2024-02-02 00:35,Venna,Sicily' Box,11444
2024-02-02 00:36,CARRTOONS,Be There For You,104600
2024-02-02 00:52,DARGZ,Happiness,7934
2024-02-02 01:47,NVDES,My Mind Is,2229
2024-02-02 01:47,Mother Mother,Nobody Escapes,4462
2024-02-02 01:47,Unknown Artist,Unknown Track,8176
2024-02-02 01:48,St. Petersburg State Symphony Orchestra,Masquerade Suite: Maskarad (Masquerade): I. Waltz,25936
2024-02-02 01:49,Akatsuki no Team,"Uranus and Then Neptune (From ""Sailor Moon S"")",95807
2024-02-02 02:10,Type O Negative,Bloody Kisses (A Death in the Family),656133
2024-02-02 02:21,Myrkur,Måneblôt,5902
2024-02-02 02:21,Johann Sebastian Bach,"Violin Partita No. 3 in E Major, BWV 1006: III. Gavotte en rondeau",27993
2024-02-02 02:22,Jess Benko,A Soulmate Who Wasn’t Meant to Be,98615
2024-02-02 02:27,Brunanburh,Embracing the Cold,261758
2024-02-02 16:42,Unknown Artist,Unknown Track,3186
2024-02-02 16:42,Unknown Artist,Unknown Track,5589
2024-02-02 17:05,Migos,MotorSport,1540
2024-02-02 17:05,Kendrick Lamar,m.A.A.d city,268966
2024-02-02 17:08,"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),161776
2024-02-02 17:11,Childish Gambino,That Power,166783
2024-02-02 17:16,Childish Gambino,That Power,293446
2024-02-02 17:19,Thundercat,Walk On By,199000
2024-02-02 17:19,Unknown Artist,Unknown Track,1985
2024-02-02 17:19,Unknown Artist,Unknown Track,3996
2024-02-02 17:23,Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",255991
2024-02-02 17:26,Saweetie,Best Friend (feat. Doja Cat),148311
2024-02-02 17:30,Kendrick Lamar,HiiiPower,271804
2024-02-02 18:21,Mac Miller,The Spins,22251
2024-02-02 20:22,The Notorious B.I.G.,Ten Crack Commandments - 2014 Remaster,204000
2024-02-02 20:22,Unknown Artist,Unknown Track,2455
2024-02-02 20:23,Unknown Artist,Unknown Track,5146
2024-02-02 20:26,Modest Mouse,Lampshades on Fire,183810
2024-02-02 20:29,Ginger Root,Loretta,178534
2024-02-02 20:32,Glass Animals,Wyrd,200621
2024-02-02 20:35,Migos,Stir Fry,190205
2024-02-02 20:39,Unknown Artist,Unknown Track,1906
2024-02-02 20:39,Breakbot,Baby I'm Yours,215506
2024-02-02 20:39,Unknown Artist,Unknown Track,5172
2024-02-02 20:42,Cookin Soul,Shark Biting Vampires,195164
2024-02-02 20:44,Chuck Strangers,Ski'd Up,120041
2024-02-02 21:05,Rosehardt,Baby Love - Daktyl Remix,12910
2024-02-02 21:05,Benny The Butcher,"Griselda Express (with Westside Gunn, Conway The Machine & Rick Hyde)",105748
