"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"Not Taxes Playlist","2024-04-17","Luxury Spoon","Van de Shop","Luxury Spoon","spotify:track:7K7QoJtb4WAgEHn8lt9ilJ","null","null","null","2023-03-08","Come to TurboTax and don&#x27;t do your taxes. Meet with an expert who&#x27;ll do them for you, so you can listen to a custom playlist.","0"
"","","舞 - feat. 理芽","Guiano","舞","spotify:track:7xWiq56KcBCQ5p88Y9IM8n","null","null","null","2023-03-08","",""
"","","月日記","いゔどっと","POP OUT","spotify:track:7AXP9ixCQEPj79hOLHZIS5","null","null","null","2023-03-08","",""
"","","愛じゃない","DAZBEE","愛じゃない","spotify:track:1nkNkmRZcHTUZoRKMiEPyz","null","null","null","2023-03-08","",""
"","","クエスチョン","meiyo","クエスチョン","spotify:track:4PeQ5j5eCRBrf54CiBmOmw","null","null","null","2023-03-08","",""
"","","テレパス","ヨルシカ","テレパス","spotify:track:7C37yaKPoOJHUvlNYv991q","null","null","null","2023-03-08","",""
"","","KONKON Beats","白上フブキ","KONKON Beats","spotify:track:2QPzxEJMyyNAwNStemSrCz","null","null","null","2023-03-08","",""
"","","曖昧にしないでよ","最終定理論者","ORATORIO","spotify:track:05UrldmB68bT5180o9YvAK","null","null","null","2023-03-08","",""
"","","イージーゲーム","natsumi","イージーゲーム","spotify:track:096qZRdXPOyvb5OP8NI7pw","null","null","null","2023-03-08","",""
"","","ダーリンダンス","Kotone","I scream","spotify:track:1hOJ6SW735Z03hWHdbvKf9","null","null","null","2023-03-08","",""
"","","babyhalo","sana","babyhalo","spotify:track:3lX51LsBP6Am5bK3k8rN58","null","null","null","2023-03-08","",""
"","","おどりゃんせ","Yurry Canon","Kardia","spotify:track:4OdbLnJJ3fWwaOdfOz2lEB","null","null","null","2023-03-08","",""
"","","光線チューニング","Nayutalien","ナユタン星からの物体Z","spotify:track:4uLM440dmbZQNCKlsfrDMD","null","null","null","2023-03-08","",""
"","","カメレオン","すりぃ","カメレオン","spotify:track:68CYG0ICN5XAiohex6mYX2","null","null","null","2023-03-08","",""
"","","Love Trial","40mP","41m","spotify:track:7oa18QwhLsV3JfITGDxslD","null","null","null","2023-03-08","",""
"","","桜の子","カンザキイオリ","不器用な男","spotify:track:7f5O27fYeZ0cwjMMRfMO73","null","null","null","2023-03-08","",""
"","","いつのまに","MAISONdes","いつのまに","spotify:track:1VZMySTb2Sqs30c0FaO9H0","null","null","null","2023-03-08","",""
"","","主人公","こはならむ","主人公","spotify:track:1e1coYJx9r2bmYOi8rqlEx","null","null","null","2023-03-08","",""
"","","ディスコミュ星人 (2022 ver.)","NANAOAKARI","ディスコミュ星人 (2022 ver.)","spotify:track:5gPGzLfoyvCOZPrCFfBWTO","null","null","null","2023-03-08","",""
"","","愛するように","MIMI","愛するように","spotify:track:0eAARuSD98FKHlmlKtmVUr","null","null","null","2023-03-08","",""
"","","あいつら全員同窓会","ZUTOMAYO","あいつら全員同窓会","spotify:track:2VIK6jaaKghS4QPHr6sAkv","null","null","null","2023-03-08","",""
"","","飛翔するmeme","花譜","飛翔するmeme","spotify:track:2xE7eUMv2Lkb3e0VFVt3f4","null","null","null","2023-03-08","",""
"","","No title","Reol","No title-","spotify:track:5pZVsZ8TOGly1KnYFmZ61B","null","null","null","2023-03-08","",""
"","","エンヴィーベイビー x KING","Kanaria","エンヴィーベイビー x KING","spotify:track:6Fg1AcTuq1a9TXTvHBnh1O","null","null","null","2023-03-08","",""
"","","チグハグ","THE SUPER FRUIT","チグハグ","spotify:track:5G38KxyH8NNjV3ZkrfOmB8","null","null","null","2023-03-08","",""
"","","独白 - カンザキイオリ Remix","DUSTCELL","独白","spotify:track:1cVRrn4pnQdg5wokWKyWu9","null","null","null","2023-03-08","",""
"","","Absolute zero","Tsukuyomi","Crescent","spotify:track:1lkSifZKfphH84pwbdg9qK","null","null","null","2023-03-08","",""
"","","ラズライト","*Luna","ラズライトの夢","spotify:track:2JiwQ51htytiUHffzXwp4e","null","null","null","2023-03-08","",""
"","","プロトディスコ","ぬゆり","plotoplan","spotify:track:5QRph2m9mqEdIt0P3iyUR0","null","null","null","2023-03-08","",""
"","","化け猫","Tatsuya Kitani","化け猫","spotify:track:7wag9tAwUdqyfQMDUgY1g9","null","null","null","2023-03-08","",""
