"items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","🌝🚘","2025-02-07","Loose","Daniel Caesar","Freudian","spotify:track:59acp1OhcvxwVBwQJBYKuX","null","null","null","2024-12-02","null","1"
"","","","","","","Pink + White","Frank Ocean","Blonde","spotify:track:3xKsf9qdS1CyvXSMEid6g8","null","null","null","2024-12-02","",""
"","","","","","","Nights","Frank Ocean","Blonde","spotify:track:7eqoqGkKwgOaWNNHx90uEZ","null","null","null","2024-12-02","",""
"","","","","","","White Ferrari","Frank Ocean","Blonde","spotify:track:2LMkwUfqC6S6s6qDVlEuzV","null","null","null","2024-12-02","",""
"","","","","","","Open Arms (feat. Travis Scott)","SZA","SOS","spotify:track:0xaFw2zDYf1rIJWl2dXiSF","null","null","null","2024-12-02","",""
"","","","","","","Snooze","SZA","SOS","spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","null","null","null","2024-12-02","",""
"","","","","","","Die For You","The Weeknd","Starboy","spotify:track:2LBqCSwhJGcFQeTHMVGwy3","null","null","null","2024-12-02","",""
"","","","","","","Location","Khalid","American Teen","spotify:track:152lZdxL1OR0ZMW6KquMif","null","null","null","2024-12-02","",""
"","","","","","","The Color Violet","Tory Lanez","Alone At Prom","spotify:track:3azJifCSqg9fRij2yKIbWz","null","null","null","2024-12-02","",""
"","","","","","","I Think I Love You Again","Aaron Taylor","The Long Way Home","spotify:track:4SvhIfAl0nqli7X20A7YtA","null","null","null","2024-12-02","",""
"","","","","","","Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.","Anthology","spotify:track:1ko2lVN0vKGUl9zrU0qSlT","null","null","null","2024-12-02","",""
"","","","","","","You Get Me So High","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","spotify:track:7zwn1eykZtZ5LODrf7c0tS","null","null","null","2024-12-02","",""
"","","","","","","I Love You So","The Walters","Songs for Dads","spotify:track:1175r6ZmkUjX8dRJLz9Ohk","null","null","null","2024-12-02","",""
"","","","","","","Infrunami","Steve Lacy","The Lo-Fis","spotify:track:0f8eRy9A0n6zXpKSHSCAEp","null","null","null","2024-12-02","",""
"","","","","","","Sunflower","Rex Orange County","Sunflower","spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ","null","null","null","2024-12-02","",""
"","","","","","","Fire","E L E Y","Fire","spotify:track:4kjcELDAUH3EGz2gYX4boT","null","null","null","2024-12-02","",""
"","","","","","","Saturn","SZA","Saturn","spotify:track:1bjeWoagtHmUKputLVyDxQ","null","null","null","2024-12-02","",""
"","","","","","","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis","Isolation","spotify:track:1otG6j1WHNvl9WgXLWkHTo","null","null","null","2024-12-02","",""
"","","","","","","Baby Powder (feat. 2 Chainz)","Jenevieve","Division","spotify:track:4PjjkSrg4cxG7htAYrCox5","null","null","null","2024-12-02","",""
"","","","","","","Gimme Love","Joji","Gimme Love","spotify:track:2hfoyc7ve6xM4ZEiNIiU1B","null","null","null","2024-12-02","",""
"","","","","","","COMMUNICATE (feat. Jevin Julian)","CHISEKO","COMMUNICATE (feat. Jevin Julian)","spotify:track:4kj39oq6LXxu4FgJg8bHT0","null","null","null","2024-12-02","",""
"","","","","","","Hello Miss Johnson","Jack Harlow","Hello Miss Johnson","spotify:track:6gH1UKDAhWS6qXzKXB4wuY","null","null","null","2024-12-02","",""
"","","","","","","Ivy","Frank Ocean","Blonde","spotify:track:2ZWlPOoWh0626oTaHrnl2a","null","null","null","2024-12-02","",""
"","","","","","","Flashing Lights","Kanye West","Graduation","spotify:track:5TRPicyLGbAF2LGBFbHGvO","null","null","null","2024-12-02","",""
"","","","","","","Kill Bill","SZA","SOS","spotify:track:3OHfY25tqY28d16oZczHc8","null","null","null","2024-12-02","",""
"","","","","","","Creepin' (with The Weeknd & 21 Savage)","Metro Boomin","HEROES & VILLAINS","spotify:track:2dHHgzDwk4BJdRwy9uXhTO","null","null","null","2024-12-02","",""
"","","","","","","Shut up My Moms Calling","Hotel Ugly","Shut up My Moms Calling","spotify:track:3hxIUxnT27p5WcmjGUXNwx","null","null","null","2024-12-02","",""
"","","","","","","TELEKINESIS (feat. SZA & Future)","Travis Scott","UTOPIA","spotify:track:1i9lZvlaDdWDPyXEE95aiq","null","null","null","2024-12-02","",""
"","","","","","","Strangers","Kenya Grace","Strangers","spotify:track:5mjYQaktjmjcMKcUIcqz4s","null","null","null","2024-12-02","",""
"","","","","","","dark days","21 Savage","american dream","spotify:track:02Cp3VTUWNed8hr69BhKz6","null","null","null","2024-12-02","",""
"","","","","","","Streetcar","Daniel Caesar","Pilgrim's Paradise","spotify:track:7Cu2COdH93MnuireuKNiS3","null","null","null","2024-12-02","",""
"","","","","","","When I Was Your Man","Bruno Mars","Unorthodox Jukebox","spotify:track:0nJW01T7XtvILxQgC5J7Wh","null","null","null","2024-12-02","",""
"","","","","","","After Last Night (with Thundercat & Bootsy Collins)","Bruno Mars","An Evening With Silk Sonic","spotify:track:6jGAh1bFnXt1Muj9zeHveZ","null","null","null","2024-12-02","",""
"","","","","","","Kiss Me More (feat. SZA)","Doja Cat","Kiss Me More (feat. SZA)","spotify:track:748mdHapucXQri7IAO8yFK","null","null","null","2024-12-02","",""
"","","","","","","Bound 2","Kanye West","Yeezus","spotify:track:3sNVsP50132BTNlImLx70i","null","null","null","2024-12-02","",""
"","","","","","","Are You Bored Yet? (feat. Clairo)","Wallows","Nothing Happens","spotify:track:57RA3JGafJm5zRtKJiKPIm","null","null","null","2024-12-02","",""
"","","","","","","Everybody","Mac Miller","Circles","spotify:track:1OuN92HcVG6NVpWbeESNB3","null","null","null","2024-12-02","",""
"","","","","","","Passionfruit","Drake","More Life","spotify:track:5mCPDVBb16L4XQwDdbRUpz","null","null","null","2024-12-02","",""
"","","","","","","Heart Don't Stand a Chance","Anderson .Paak","Malibu","spotify:track:25GlFJq5QNAXyVgJvCZ4Mf","null","null","null","2024-12-02","",""
"","","","","","","Missin You Crazy","Russ","ZOO","spotify:track:4ve2uzqdwnHr20G5YgMMqr","null","null","null","2024-12-02","",""
"","","","","","","Easy","Mac Ayres","Drive Slow","spotify:track:58dSdjfEYNSxte1aNVxuNf","null","null","null","2024-12-02","",""
"","","","","","","Young Dumb & Broke","Khalid","American Teen","spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","null","null","null","2024-12-02","",""
"","","","","","","Painkiller","Ruel","Free Time","spotify:track:1YlulsUKDduOmC7WxvXYPW","null","null","null","2024-12-02","",""
"","","","","","","Midsummer Madness","88rising","Head In The Clouds","spotify:track:6TodWdTSDfzwgYynTZSvJn","null","null","null","2024-12-02","",""
"","","","","","","Stay","Post Malone","beerbongs & bentleys","spotify:track:4H7WNRErSbONkM06blBoGc","null","null","null","2024-12-02","",""
"","","","","","","Heartbreak Anniversary","GIVĒON","TAKE TIME","spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp","null","null","null","2024-12-02","",""
"","","","","","","Like I Want You","GIVĒON","TAKE TIME","spotify:track:6qBFSepqLCuh5tehehc1bd","null","null","null","2024-12-02","",""
"","","","","","","needy","Ariana Grande","thank u, next","spotify:track:1TEL6MlSSVLSdhOSddidlJ","null","null","null","2024-12-02","",""
"","","","","","","SLOW DANCING IN THE DARK","Joji","BALLADS 1","spotify:track:0rKtyWc8bvkriBthvHKY8d","null","null","null","2024-12-02","",""
"","","","","","","Love","Keyshia Cole","The Way It Is","spotify:track:0W4NhJhcqKCqEP2GIpDCDq","null","null","null","2024-12-02","",""
"","","","","","","Die For You","Joji","SMITHEREENS","spotify:track:26hOm7dTtBi0TdpDGl141t","null","null","null","2024-12-02","",""
"","","","","","","DEAD MAN WALKING","Brent Faiyaz","WASTELAND","spotify:track:2c2tlXfEmLgUNvxngIi1qL","null","null","null","2024-12-02","",""
"","","","","","","Stuck On You","GIVĒON","Stuck On You","spotify:track:08HPWLi0YmRUStJzkQ1ffh","null","null","null","2024-12-02","",""
"","","","","","","Happier Than Ever","ASTN","Happier Than Ever","spotify:track:7es56D0QedGMsK39wl2yFX","null","null","null","2024-12-02","",""
"","","","","","","Easily","Bruno Major","A Song For Every Moon","spotify:track:2k9N4caeCIJLOWwWwssrEM","null","null","null","2024-12-02","",""
"","","","","","","Out of My League","Fitz and The Tantrums","More Than Just a Dream","spotify:track:2AYEOC02WLhUiOoaig2SEH","null","null","null","2024-12-02","",""
"","","","","","","Mine","Bazzi","COSMIC","spotify:track:7uzmGiiJyRfuViKKK3lVmR","null","null","null","2024-12-02","",""
"","","","","","","I Think I Like When It Rains","WILLIS","Locals 2","spotify:track:5S5u0EWtlblH00iTNExZ6X","null","null","null","2024-12-02","",""
"","","","","","","Come Back to Earth","Mac Miller","Swimming","spotify:track:01z2fBGB8Hl3Jd3zXe4IXR","null","null","null","2024-12-02","",""
"","","","","","","World We Created","GIVĒON","TAKE TIME","spotify:track:51Ful1v7b81FchIFFTAQ05","null","null","null","2024-12-02","",""
"","","","","","","Favorite Mistake","GIVĒON","TAKE TIME","spotify:track:4rHIfYRQw6ittRQXAlurk0","null","null","null","2024-12-02","",""
"","","","","","","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Spider-Man: Into the Spider-Verse","spotify:track:3KkXRkHbMCARz0aVfEt68P","null","null","null","2024-12-02","",""
"","","","","","","Ophelia","The Lumineers","Cleopatra","spotify:track:3d8y0t70g7hw2FOWl9Z4Fm","null","null","null","2024-12-02","",""
