"name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack","items__addedDate","description","numberOfFollowers"
"Hoodie Up","2025-01-16","Fade Into You","Mazzy Star","So Tonight That I Might See","spotify:track:1LzNfuep1bnAUR9skqdHCK","null","null","null","2025-01-08","null","0"
"","","High and Dry","Radiohead","The Bends","spotify:track:2a1iMaoWQ5MnvLFBDv4qkf","null","null","null","2025-01-08","",""
"","","Fake Plastic Trees","Radiohead","The Bends","spotify:track:73CKjW3vsUXRpy3NnX4H7F","null","null","null","2025-01-08","",""
"","","Karma Police","Radiohead","OK Computer","spotify:track:63OQupATfueTdZMWTxW03A","null","null","null","2025-01-08","",""
"","","Come and See Me (feat. Drake)","PARTYNEXTDOOR","Come and See Me (feat. Drake)","spotify:track:3dBveK0fmnxbiXXgAX6lau","null","null","null","2025-01-08","",""
"","","Drama (feat. Drake)","Roy Woods","Exis","spotify:track:0PXp9QxBfSKGGpWUNaws2X","null","null","null","2025-01-08","",""
"","","Feel No Ways","Drake","Views","spotify:track:3cjF2OFRmip8spwZYQRKxP","null","null","null","2025-01-08","",""
"","","Do Not Disturb","Drake","More Life","spotify:track:2KvHC9z14GSl4YpkNMX384","null","null","null","2025-01-08","",""
"","","Take Care","Drake","Take Care","spotify:track:124NFj84ppZ5pAxTuVQYCQ","null","null","null","2025-01-08","",""
"","","Marvins Room","Drake","Take Care","spotify:track:047fCsbO4NdmwCBn8pcUXl","null","null","null","2025-01-08","",""
"","","You Found Me","The Fray","The Fray","spotify:track:4IoYz8XqqdowINzfRrFnhi","null","null","null","2025-01-08","",""
"","","Hey There Delilah","Plain White T's","All That We Needed","spotify:track:4RCWB3V8V0dignt99LZ8vH","null","null","null","2025-01-08","",""
"","","Wish You Were Here","Pink Floyd","Wish You Were Here","spotify:track:6mFkJmJqdDVQ1REhVfGgd1","null","null","null","2025-01-08","",""
"","","Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","spotify:track:7ygpwy2qP3NbrxVkHvUhXY","null","null","null","2025-01-08","",""
"","","K.","Cigarettes After Sex","Cigarettes After Sex","spotify:track:7LX4aXtvImhdgUHQBlo8Kp","null","null","null","2025-01-08","",""
"","","Apocalypse","Cigarettes After Sex","Cigarettes After Sex","spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","null","null","null","2025-01-08","",""
"","","Sweet","Cigarettes After Sex","Cigarettes After Sex","spotify:track:6ilc4vQcwMPlvAHFfsTGng","null","null","null","2025-01-08","",""
"","","Snow","Zach Bryan","DeAnn","spotify:track:6K4336phprB3Mj8qwYxibR","null","null","null","2025-01-08","",""
"","","Letting Someone Go","Zach Bryan","DeAnn","spotify:track:6Wxx1jXr6EyGdt8RuYFzvj","null","null","null","2025-01-08","",""
"","","God Speed","Zach Bryan","DeAnn","spotify:track:4GeyPGMzh6VwdNcaCufY9f","null","null","null","2025-01-08","",""
"","","Sparks","Coldplay","Parachutes","spotify:track:7D0RhFcb3CrfPuTJ0obrod","null","null","null","2025-01-10","",""
"","","Cry","Cigarettes After Sex","Cry","spotify:track:3p4hRhMcb6ch8OLtATMaLw","null","null","null","2025-01-10","",""
"","","Violent Crimes","Kanye West","ye","spotify:track:3s7MCdXyWmwjdcWh7GWXas","null","null","null","2025-01-10","",""
"","","Blondie","Current Joys","Wild Heart","spotify:track:7sIx70dGj3VBiHWr0KZXfD","null","null","null","2025-01-10","",""
"","","What Once Was","Her's","Songs of Her's","spotify:track:1XrSjpNe49IiygZfzb74pk","null","null","null","2025-01-10","",""
"","","You And Me","Lifehouse","Lifehouse","spotify:track:0815caqt2Lytro5EIzMufT","null","null","null","2025-01-10","",""
"","","Here With Me","d4vd","Here With Me","spotify:track:78Sw5GDo6AlGwTwanjXbGh","null","null","null","2025-01-10","",""
"","","Heart To Heart","Mac DeMarco","Here Comes The Cowboy","spotify:track:7EAMXbLcL0qXmciM5SwMh2","null","null","null","2025-01-10","",""
"","","My Kind of Woman","Mac DeMarco","2","spotify:track:6jgkEbmQ2F2onEqsEhiliL","null","null","null","2025-01-10","",""
"","","Sunday Morning","Maroon 5","Songs About Jane: 10th Anniversary Edition","spotify:track:5qII2n90lVdPDcgXEEVHNy","null","null","null","2025-01-10","",""
