endTime,artistName,trackName,msPlayed
2024-02-02 18:14,Red Hot Chili Peppers,Under the Bridge,3041
2024-02-02 18:18,Spin Doctors,Two Princes,256733
2024-02-02 18:19,Mike Sherm,Asshole,394
2024-02-02 18:19,Lil Uzi Vert,Suicide Doors,580
2024-02-02 18:19,Red Hot Chili Peppers,Under the Bridge,812
2024-02-02 18:19,LUCKI,New Drank,278
2024-02-02 18:19,Yeat,Trëndy,278
2024-02-02 18:19,Playboi Carti,On That Time,1091
2024-02-02 18:19,Doja Cat,Agora Hills,882
2024-02-02 18:19,The Neighbourhood,The Beach,255
2024-02-02 18:19,The Neighbourhood,The Beach,696
2024-02-02 18:19,Lil Baby,Low Down,812
2024-02-02 18:19,Lil Baby,Low Down,464
2024-02-02 18:19,Red Hot Chili Peppers,Californication,11238
2024-02-02 18:19,Red Hot Chili Peppers,Otherside,1532
2024-02-02 18:19,Homixide Gang,Guitars,859
2024-02-02 18:19,Ken Carson,Lose It,696
2024-02-02 18:19,Red Hot Chili Peppers,Scar Tissue,25260
2024-02-02 18:19,Travis Scott,NO BYSTANDERS,650
2024-02-02 18:19,The Weeknd,I Was Never There,2391
2024-02-02 18:19,The Weeknd,I Was Never There,441
2024-02-02 18:19,Destroy Lonely,VTMNTSCOAT,1091
2024-02-02 18:19,Future,March Madness,1114
2024-02-02 18:19,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",348
2024-02-02 18:19,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",928
2024-02-02 18:22,mikeeysmind,HARDY BOYS,159451
2024-02-02 18:22,Shoreline Mafia,Perc Popper,1439
2024-02-02 18:23,Young Thug,Hercules,1253
2024-02-02 18:23,Migos,Cocoon,69799
2024-02-02 18:23,Future,Solo,2995
2024-02-02 18:23,Phantogram,Black Out Days - Future Islands Remix,859
2024-02-02 18:23,Gunna,MET GALA,1904
2024-02-02 18:26,The Neighbourhood,Softcore,164861
2024-02-02 18:28,The Weeknd,Party Monster,122531
2024-02-02 18:31,Lil Uzi Vert,Flooded The Face,192727
2024-02-02 18:33,LUCKI,Randomly,128538
2024-02-02 18:36,Playboi Carti,ILoveUIHateU,135122
2024-02-02 18:37,Ken Carson,Yale,52416
2024-02-02 20:54,Don Toliver,BANDIT,95553
2024-02-02 20:54,Don Toliver,BANDIT,5056
2024-02-02 20:55,PARTYNEXTDOOR,Belong to the City,98023
2024-02-02 20:58,Offset,DON'T YOU LIE,191466
2024-02-02 21:00,PARTYNEXTDOOR,Recognize (feat. Drake),82672
2024-02-03 01:55,PARTYNEXTDOOR,Recognize (feat. Drake),1023
2024-02-03 01:59,Drake,Controlla,245226
2024-02-03 02:02,Drake,Teenage Fever,219692
2024-02-03 02:08,Drake,Middle of the Ocean,356389
2024-02-03 02:09,Drake,BackOutsideBoyz,62546
2024-02-03 20:46,Tory Lanez,Broke In A Minute,557
2024-02-03 20:46,Tory Lanez,Broke In A Minute,162
2024-02-03 20:46,Steve Lacy,Buttons,1160
2024-02-03 20:46,PARTYNEXTDOOR,East Liberty,6013
2024-02-03 20:46,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),1021
2024-02-03 20:46,Drake,Jaded,1323
2024-02-03 20:46,Quavo,HOTEL LOBBY (Unc & Phew),109064
2024-02-03 20:46,Brent Faiyaz,Allure,812
2024-02-03 20:46,Lil Yachty,Who Want The Smoke? (feat. Cardi B & Offset),766
2024-02-03 20:46,Lil Yachty,Who Want The Smoke? (feat. Cardi B & Offset),835
2024-02-03 20:50,Thee Sacred Souls,Weak for Your Love,217454
2024-02-03 20:53,The Isley Brothers,"Footsteps in the Dark, Pts. 1 & 2",28583
2024-02-03 20:53,"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City - Single Version,156386
2024-02-03 20:54,Labi Siffre,My Song,52616
2024-02-03 20:55,Daniel Caesar,Please Do Not Lean (feat. BADBADNOTGOOD) - Bonus,952
2024-02-03 20:55,Frank Ocean,Monks,3831
2024-02-03 20:55,Frank Ocean,White,2461
2024-02-03 20:55,Frank Ocean,Bad Religion,89303
2024-02-03 20:56,The Spinners,It's A Shame,1904
2024-02-03 20:56,Brent Faiyaz,BAD LUCK,2020
2024-02-03 20:56,Daniel Caesar,Take Me Away (feat. Syd),835
2024-02-03 20:56,Frank Ocean,Seigfried,673
2024-02-03 20:57,Brent Faiyaz,Last One Left (feat. Missy Elliott & Lil Gray),2182
2024-02-03 20:57,The Spinners,It's A Shame,58258
2024-02-03 20:57,Brent Faiyaz,Outside All Night (feat. A$AP Rocky & N3WYRKLA),626
2024-02-03 20:57,Giveon,Still Your Best,1486
2024-02-03 20:57,Daniel Caesar,Transform (feat. Charlotte Day Wilson),626
2024-02-03 20:57,Marvin Gaye,Ain't No Mountain High Enough,557
2024-02-03 20:57,Drake,Yebba’s Heartbreak,1300
2024-02-03 20:57,PARTYNEXTDOOR,SHOWING YOU,1137
2024-02-03 20:57,Brent Faiyaz,Around Me,487
2024-02-03 20:57,Frank Ocean,Seigfried,650
2024-02-03 20:57,FKJ,Risk,696
2024-02-03 20:57,"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City - Single Version,464
2024-02-03 20:57,Minnie Riperton,"Baby, This Love I Have",1741
2024-02-03 20:58,Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,103398
2024-02-03 20:58,Brent Faiyaz,Soon Az I Get Home,975
2024-02-03 20:59,Brent Faiyaz,Needed,835
2024-02-03 20:59,Brent Faiyaz,ANGEL,1184
2024-02-03 20:59,Cleo Sol,Self,1021
2024-02-03 20:59,Mariah the Scientist,Spread Thin,859
2024-02-03 20:59,Alicia Keys,You Don't Know My Name,534
2024-02-03 20:59,Giveon,Vanish,766
2024-02-03 20:59,Daniel Caesar,Best Part (feat. H.E.R.),557
2024-02-03 20:59,Steve Lacy,Buttons,534
2024-02-03 20:59,SZA,Supermodel,812
2024-02-03 20:59,Stevie Wonder,Sir Duke,35201
2024-02-03 20:59,The Isley Brothers,"Footsteps in the Dark, Pts. 1 & 2",487
2024-02-03 20:59,Al Green,Let's Stay Together,441
2024-02-03 21:00,Brent Faiyaz,Show U Off,12422
2024-02-03 21:00,Loose Ends,You Can't Stop The Rain,2693
2024-02-03 21:00,Frank Ocean,Godspeed,21176
2024-02-03 21:00,Daniel Caesar,COMPLEXITIES,580
2024-02-03 21:00,SZA,Nobody Gets Me,812
2024-02-03 21:28,Brent Faiyaz,Show U Off,905
2024-02-03 21:28,SZA,Seek & Destroy,3250
2024-02-03 21:28,SZA,Seek & Destroy,510
2024-02-03 21:28,Frank Ocean,Cayendo (Side A - Acoustic),1462
2024-02-03 21:28,Brent Faiyaz,Target On My Chest,4969
2024-02-03 21:28,Labi Siffre,My Song,394
