"name","lastModifiedDate","items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"C6 songs to learn ","2024-12-19","","","","","Steel Guitar Rag","Bob Wills & His Texas Playboys","Legends of Country Music: Bob Wills and His Texas Playboys","spotify:track:6qG32b77sPj9kk2BRBkcPa","null","null","","null","2024-12-19","null","0"
"","","","","","","Walkin' After Midnight","Patsy Cline","Patsy Cline","spotify:track:7E8nKMtXMqIQbvl1Ta9Ucw","null","null","","null","2024-12-19","",""
"","","","","","","I'm So Lonesome I Could Cry","Hank Williams","Moanin' The Blues","spotify:track:0hveAq1VSNWo9MQYGMHvFF","null","null","","null","2024-12-19","",""
"","","","","","","Smoke! Smoke! Smoke! (That Cigarette)","Tex Williams & His Western Caravan","The Very Best Of Western Swing","spotify:track:24vvjlsuI0eyzUuwc91uqf","null","null","","null","2024-12-19","",""
"","","","","","","Nails In My Coffin","Jerry Irby and His Texas Ranchers","Kings Of Western Swing","spotify:track:4tRxFud4ETTKsW1R1t6r50","null","null","","null","2024-12-19","",""
"","","","","","","There Stands The Glass","Webb Pierce","20th Century Masters: The Millennium Collection: Best Of Webb Pierce","spotify:track:0VxX3RBKO46Ky6XgvN0bME","null","null","","null","2024-12-19","",""
"","","","","","","Night Life","Ray Price","Night Life","spotify:track:58EvnxQz4OhOCmuHtCefr5","null","null","","null","2024-12-19","",""
"Christmas party","2024-12-05","","","","","Rockin' Around The Christmas Tree","Brenda Lee","Merry Christmas From Brenda Lee","spotify:track:2EjXfH91m7f8HiJN1yQg97","null","null","","null","2024-12-05","null","0"
"","","","","","","This Christmas","Donny Hathaway","A Donny Hathaway Collection","spotify:track:38xhBO2AKrJnjdjVnhJES6","null","null","","null","2024-12-05","",""
"","","","","","","Grandma Got Run over by a Reindeer","Elmo & Patsy","Grandma Got Run Over By A Reindeer","spotify:track:49iHYFjT5yO6WEw6KerX9o","null","null","","null","2024-12-05","",""
"","","","","","","Blue Christmas","Elvis Presley","Elvis' Christmas Album","spotify:track:3QiAAp20rPC3dcAtKtMaqQ","null","null","","null","2024-12-05","",""
"","","","","","","Santa Claus Is Coming To Town","The Jackson 5","Christmas Album","spotify:track:2QpN1ZVw8eJO5f7WcvUA1k","null","null","","null","2024-12-05","",""
"Bluegrass","2024-12-03","","","","","Angeline The Baker","David Grier","Freewheeling","spotify:track:3mrlatb4xePvM9LVAB2iL7","null","null","","null","2024-12-03","null","0"
"","","","","","","Stoney Lonesome","Noam Pikelny","Noam Pikelny Plays Kenny Baker Plays Bill Monroe","spotify:track:6wmLGKJaPON9dZW0o4QuuG","null","null","","null","2024-12-03","",""
"","","","","","","Church Street Blues","Tony Rice","Church Street Blues","spotify:track:6fbgWiXF0bNlihr7s1eIrX","null","null","","null","2024-12-03","",""
"","","","","","","Blackberry Blossom","Tony Rice Unit","Manzanita","spotify:track:6AJT8a1SwSjL5WBZxWdbRW","null","null","","null","2024-12-03","",""
"","","","","","","Cheyenne","Noam Pikelny","Noam Pikelny Plays Kenny Baker Plays Bill Monroe","spotify:track:2P5cnAay7oO4HmmRNfYArJ","null","null","","null","2024-12-03","",""
"","","","","","","Reverie","Béla Fleck","Deviation","spotify:track:6abG9aKLMcRn0AQrRSzJ0k","null","null","","null","2024-12-03","",""
"","","","","","","Swing 51","David Grisman","The David Grisman Quintet","spotify:track:3asTJ7xRtc3QrdKUdupcVl","null","null","","null","2024-12-03","",""
"","","","","","","E.M.D.","David Grisman","The David Grisman Quintet","spotify:track:2mcxkyY4ErJgx1O4AOphZU","null","null","","null","2024-12-03","",""
"","","","","","","Doc & Dawg","Doc Watson","Doc & Dawg","spotify:track:6xkyzOC39QTdvkaMzNcxTa","null","null","","null","2024-12-03","",""
"","","","","","","Beaumont Rag","Tony Rice Unit","Unit Of Measure","spotify:track:1TjjW7ElxXEfPiTQwocWaB","null","null","","null","2024-12-03","",""
"","","","","","","Cripple Creek","Flatt & Scruggs","The Essential Earl Scruggs","spotify:track:66wkBfdMJE56vJInpBO84n","null","null","","null","2024-12-03","",""
"","","","","","","Critterland","Willi Carlisle","Critterland","spotify:track:6BzJigGu37BKBElI9soPpJ","null","null","","null","2024-12-03","",""
"","","","","","","Ginseng Sullivan","Tony Rice Unit","Manzanita","spotify:track:5QEPvxPCTYgUbnAaDfTrfe","null","null","","null","2024-12-03","",""
"","","","","","","One Last Time (feat. Sierra Ferrell)","Benjamin Tod","One Last Time (feat. Sierra Ferrell)","spotify:track:0of8lBW25tp1RFHmnKxOx2","null","null","","null","2024-12-03","",""
"","","","","","","Alberta","Doc Watson","The Essential Doc Watson","spotify:track:5OPjPd75JJ1himhtfPC2L0","null","null","","null","2024-12-03","",""
"","","","","","","Black Mountain Rag","Bill Keith","Fiddle Tunes For Banjo","spotify:track:3cJa6Yy28y7qtPmdOZHqht","null","null","","null","2024-12-03","",""
"","","","","","","The over Grown Waltz","Béla Fleck","The Bluegrass Sessions: Tales From The Acoustic Planet, Vol. 2","spotify:track:2PCJXFuZdJ5pAYvUSRnGyW","null","null","","null","2024-12-03","",""
"","","","","","","Old Jellico, Puddle Jumper, Dead Man's Hill","Béla Fleck","The Bluegrass Sessions: Tales From The Acoustic Planet, Vol. 2","spotify:track:6n7oqXH7ohZM52wTUU0NBG","null","null","","null","2024-12-03","",""
"","","","","","","Big Sciota","Jerry Douglas","Skip, Hop And Wobble","spotify:track:3bwRblhAbbkQ8GoL7YatI7","null","null","","null","2024-12-03","",""
"","","","","","","Old Train","Tony Rice Unit","Manzanita","spotify:track:4SXqvKpxCmPBKrmPPkR7y5","null","null","","null","2024-12-03","",""
"","","","","","","Will The Roses Bloom","Ricky Skaggs","Skaggs And Rice","spotify:track:3lcWucDiYjEHJ4Jb89GizO","null","null","","null","2024-12-03","",""
"","","","","","","Soldier's Joy","Doc Watson","Doc & Dawg","spotify:track:3WpBzf38PTckksXmzkRU94","null","null","","null","2024-12-03","",""
"","","","","","","Sweet Georgia Brown","Doc Watson","Doc & Dawg","spotify:track:1K5iN7y7wYSDZqpMqAi2DH","null","null","","null","2024-12-03","",""
"","","","","","","Summertime","Doc Watson","Doc & Dawg","spotify:track:6D9j7B5N1tcLRLfaamvQEh","null","null","","null","2024-12-03","",""
"","","","","","","What If","The Jerry Douglas Band","What If","spotify:track:32Lo5SIDaqPF1ZGFwQ91Ha","null","null","","null","2024-12-03","",""
"","","","","","","Old Home Place","J.D. Crowe & The New South","J.D. Crowe & the New South","spotify:track:4JQYyvk9dOqYNTyBzUoPxU","null","null","","null","2024-12-03","",""
"","","","","","","Greener Grass","Julian Lage & Chris Eldridge","Mount Royal","spotify:track:0gIqzwso96i6SafJqcbgxO","null","null","","null","2024-12-03","",""
"","","","","","","Birdland Breakdown","Tony Rice Unit","Devlin","spotify:track:7ditMy2Cdg0qp0C4q39fsV","null","null","","null","2024-12-03","",""
"","","","","","","Any Old Time","Tony Rice","Church Street Blues","spotify:track:6T5xEEnOf6uBH9rbrd4kbe","null","null","","null","2024-12-03","",""
"","","","","","","Fog Rolling Over The Glen","David Grier","Freewheeling","spotify:track:1CMv8VkurIkhYgVAl6MRx6","null","null","","null","2024-12-03","",""
"","","","","","","Whiskey Before Breakfast","Julian Lage & Chris Eldridge","Avalon","spotify:track:0yw0GwNSZWuDs7mOQQViGL","null","null","","null","2024-12-03","",""
"Olives/ winter break set ","2024-11-18","","","","","Maple Syrup","The Backseat Lovers","When We Were Friends","spotify:track:4MXE6VCvTsQitHWrAxj7Kg","null","null","","null","2024-11-18","null","0"
"","","","","","","The Dry Cleaner From Des Moines","Joni Mitchell","Mingus","spotify:track:06BRd83MC31o8vzZNwH0WP","null","null","","null","2024-11-18","",""
"Techno","2024-08-17","","","","","Jupiter Jazz","Galaxy 2 Galaxy","Galaxy 2 Galaxy: A High Tech Jazz Compilation","spotify:track:2T6rMXWYc934IWMudx1H1X","null","null","","null","2024-08-17","null","0"
"","","","","","","Riod","Juan Atkins","Juan Atkins & Moritz von Oswald Present Borderland: Transport","spotify:track:6v4tA05iYtUZ7N7l2Nd6HD","null","null","","null","2024-08-17","",""
"","","","","","","Lightyears","Juan Atkins","Juan Atkins & Moritz von Oswald Present Borderland: Transport","spotify:track:19vBMI6eXO6Ec63q9SXzfe","null","null","","null","2024-08-17","",""
"Dj","2024-08-15","","","","","タイム・リミット","CASIOPEA","CASIOPEA","spotify:track:0MaM0yE9EdQEJwDfs6EAZ9","null","null","","null","2024-08-15","null","1"
"","","","","","","Bahamut - Bumpin The Night 96","Bahamut","Bumpin The Night","spotify:track:2HSshHzj3c31Ad4PDkccVp","null","null","","null","2024-08-15","",""
"","","","","","","Street Tuff - Scar Extended Mix","Double Trouble","Street Tuff","spotify:track:4qBTSnovr0nw1S6ZfS2Itx","null","null","","null","2024-08-15","",""
