artistName,segment,user_id
Drake,Light listeners,user_001
Neon Trees,Previously Active Listeners,user_001
Snoop Dogg,Previously Active Listeners,user_001
Prince,Previously Active Listeners,user_001
Bruno Mars,Previously Active Listeners,user_001
Tory Lanez,Previously Active Listeners,user_001
Kygo,Previously Active Listeners,user_001
Flying Lotus,Previously Active Listeners,user_001
Jay Rock,Previously Active Listeners,user_001
Bon Jovi,Previously Active Listeners,user_001
Justin Timberlake,Previously Active Listeners,user_001
Beyoncé,Previously Active Listeners,user_001
Daft Punk,Previously Active Listeners,user_001
Alan Walker,Previously Active Listeners,user_001
Anitta,Light listeners,user_001
Adele,Previously Active Listeners,user_001
Timbaland,Previously Active Listeners,user_001
The Cardigans,Previously Active Listeners,user_001
Natasha Bedingfield,Previously Active Listeners,user_001
The Strokes,Moderate listeners,user_001
XXXTENTACION,Previously Active Listeners,user_001
Sean Kingston,Previously Active Listeners,user_001
The Jackson 5,Previously Active Listeners,user_001
J. Cole,Previously Active Listeners,user_001
Various Artists,Previously Active Listeners,user_001
Offset,Previously Active Listeners,user_001
Corinne Bailey Rae,Light listeners,user_001
Armand Van Helden,Previously Active Listeners,user_001
Chris Brown,Light listeners,user_001
9lokknine,Light listeners,user_001
Kid Cudi,Moderate listeners,user_001
Duck Sauce,Previously Active Listeners,user_001
Michael Bublé,Previously Active Listeners,user_001
ROLE MODEL,Previously Active Listeners,user_001
American Boys,Previously Active Listeners,user_001
Diplo,Light listeners,user_001
BØRNS,Previously Active Listeners,user_001
DaBaby,Previously Active Listeners,user_001
Calvin Harris,Light listeners,user_001
Gunna,Previously Active Listeners,user_001
Village People,Previously Active Listeners,user_001
Travis Scott,Light listeners,user_001
Wes Walker,Previously Active Listeners,user_001
Meek Mill,Previously Active Listeners,user_001
Cardi B,Previously Active Listeners,user_001
Tame Impala,Super Listeners,user_001
America,Previously Active Listeners,user_001
Florence + The Machine,Previously Active Listeners,user_001
Morgan Wallen,Previously Active Listeners,user_001
JAY-Z,Light listeners,user_001
Nicki Minaj,Previously Active Listeners,user_001
Kanye West,Moderate listeners,user_001
Bryce Vine,Previously Active Listeners,user_001
Elton John,Previously Active Listeners,user_001
ABBA,Previously Active Listeners,user_001
BigXthaPlug,Light listeners,user_001
Mac Miller,Previously Active Listeners,user_001
The Verve,Previously Active Listeners,user_001
Lehmber Hussainpuri,Previously Active Listeners,user_001
Arcángel,Previously Active Listeners,user_001
Travie McCoy,Previously Active Listeners,user_001
Ozzy Osbourne,Previously Active Listeners,user_001
Famous Dex,Previously Active Listeners,user_001
Young Thug,Previously Active Listeners,user_001
Eminem,Moderate listeners,user_001
Rob $tone,Previously Active Listeners,user_001
KSI,Previously Active Listeners,user_001
Zara Larsson,Previously Active Listeners,user_001
Andy Grammer,Moderate listeners,user_001
Michael Franti & Spearhead,Previously Active Listeners,user_001
MØ,Previously Active Listeners,user_001
Fitz and The Tantrums,Moderate listeners,user_001
George Martin,Previously Active Listeners,user_001
Fergie,Previously Active Listeners,user_001
Yeat,Previously Active Listeners,user_001
Childish Gambino,Previously Active Listeners,user_001
The Weeknd,Super Listeners,user_001
Guns N' Roses,Previously Active Listeners,user_001
Krsna Solo,Previously Active Listeners,user_001
Kendrick Lamar,Super Listeners,user_001
Slim Jxmmi,Previously Active Listeners,user_001
Imagine Dragons,Light listeners,user_001
George Ezra,Previously Active Listeners,user_001
Vance Joy,Light listeners,user_001
The Cleveland Orchestra,Previously Active Listeners,user_001
Gipsy Kings,Previously Active Listeners,user_001
LunchMoney Lewis,Light listeners,user_001
Taylour Paige,Previously Active Listeners,user_001
Nile Rodgers,Previously Active Listeners,user_001
The Fray,Previously Active Listeners,user_001
Bakar,Previously Active Listeners,user_001
American Authors,Previously Active Listeners,user_001
Tanna Leone,Light listeners,user_001
Almighty Jay,Previously Active Listeners,user_001
Rae Sremmurd,Light listeners,user_001
A Boogie Wit da Hoodie,Previously Active Listeners,user_001
Blur,Light listeners,user_001
Blueface,Previously Active Listeners,user_001
Miley Cyrus,Previously Active Listeners,user_001
Paul McCartney,Previously Active Listeners,user_001
Clean Bandit,Previously Active Listeners,user_001
Eladio Carrion,Previously Active Listeners,user_001
Swedish House Mafia,Previously Active Listeners,user_001
Aloe Blacc,Previously Active Listeners,user_001
Ski Mask The Slump God,Previously Active Listeners,user_001
JID,Previously Active Listeners,user_001
Keyshia Cole,Previously Active Listeners,user_001
Big Sean,Previously Active Listeners,user_001
Olly Murs,Previously Active Listeners,user_001
DMX,Previously Active Listeners,user_001
The Revivalists,Previously Active Listeners,user_001
Trippie Redd,Previously Active Listeners,user_001
Lil Yachty,Previously Active Listeners,user_001
Kodak Black,Previously Active Listeners,user_001
The Notorious B.I.G.,Previously Active Listeners,user_001
Lute,Previously Active Listeners,user_001
