artistName,segment
Drake,Light listeners
Neon Trees,Previously Active Listeners
Snoop Dogg,Previously Active Listeners
Prince,Previously Active Listeners
Bruno Mars,Previously Active Listeners
Tory Lanez,Previously Active Listeners
Kygo,Previously Active Listeners
Flying Lotus,Previously Active Listeners
Jay Rock,Previously Active Listeners
Bon Jovi,Previously Active Listeners
Justin Timberlake,Previously Active Listeners
Beyoncé,Previously Active Listeners
Daft Punk,Previously Active Listeners
Alan Walker,Previously Active Listeners
Anitta,Light listeners
Adele,Previously Active Listeners
Timbaland,Previously Active Listeners
The Cardigans,Previously Active Listeners
Natasha Bedingfield,Previously Active Listeners
The Strokes,Moderate listeners
XXXTENTACION,Previously Active Listeners
Sean Kingston,Previously Active Listeners
The Jackson 5,Previously Active Listeners
J. Cole,Previously Active Listeners
Various Artists,Previously Active Listeners
Offset,Previously Active Listeners
Corinne Bailey Rae,Light listeners
Armand Van Helden,Previously Active Listeners
Chris Brown,Light listeners
9lokknine,Light listeners
Kid Cudi,Moderate listeners
Duck Sauce,Previously Active Listeners
Michael Bublé,Previously Active Listeners
ROLE MODEL,Previously Active Listeners
American Boys,Previously Active Listeners
Diplo,Light listeners
BØRNS,Previously Active Listeners
DaBaby,Previously Active Listeners
Calvin Harris,Light listeners
Gunna,Previously Active Listeners
Village People,Previously Active Listeners
Travis Scott,Light listeners
Wes Walker,Previously Active Listeners
Meek Mill,Previously Active Listeners
Cardi B,Previously Active Listeners
Tame Impala,Super Listeners
America,Previously Active Listeners
Florence + The Machine,Previously Active Listeners
Morgan Wallen,Previously Active Listeners
JAY-Z,Light listeners
Nicki Minaj,Previously Active Listeners
Kanye West,Moderate listeners
Bryce Vine,Previously Active Listeners
Elton John,Previously Active Listeners
ABBA,Previously Active Listeners
BigXthaPlug,Light listeners
Mac Miller,Previously Active Listeners
The Verve,Previously Active Listeners
Lehmber Hussainpuri,Previously Active Listeners
Arcángel,Previously Active Listeners
Travie McCoy,Previously Active Listeners
Ozzy Osbourne,Previously Active Listeners
Famous Dex,Previously Active Listeners
Young Thug,Previously Active Listeners
Eminem,Moderate listeners
Rob $tone,Previously Active Listeners
KSI,Previously Active Listeners
Zara Larsson,Previously Active Listeners
Andy Grammer,Moderate listeners
Michael Franti & Spearhead,Previously Active Listeners
MØ,Previously Active Listeners
Fitz and The Tantrums,Moderate listeners
George Martin,Previously Active Listeners
Fergie,Previously Active Listeners
Yeat,Previously Active Listeners
Childish Gambino,Previously Active Listeners
