Rank,Title,Artist
1,Beautiful Things,Benson Boone
2,Lose Control,Teddy Swims
3,Espresso,Sabrina Carpenter
4,Cruel Summer,Taylor Swift
5,Greedy,Tate McRae
6,A Bar Song (Tipsy),Shaboozey
7,Birds Of A Feather,Billie Eilish
8,Too Sweet,Hozier
9,Gata Only,FloyyMenor X Cris Mj
10,Stick Season,Noah Kahan
11,Not Like Us,Kendrick Lamar
12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
13,Million Dollar Baby,Tommy Richman
14,I Had Some Help,Post Malone Featuring Morgan Wallen
15,Seven,Jung Kook Featuring Latto
16,Flowers,Miley Cyrus
17,Please Please Please,Sabrina Carpenter
18,Water,Tyla
19,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp"
20,Lovin On Me,Jack Harlow
21,I Like The Way You Kiss Me,Artemas
22,We Can't Be Friends (Wait For Your Love),Ariana Grande
23,Save Your Tears,The Weeknd & Ariana Grande
24,Die For You,The Weeknd & Ariana Grande
25,Snooze,SZA
26,Fortnight,Taylor Swift Featuring Post Malone
27,Paint The Town Red,Doja Cat
28,End Of Beginning,Djo
29,As It Was,Harry Styles
30,My Love Mine All Mine,Mitski
31,"Good Luck, Babe!",Chappell Roan
32,Luna,Feid & ATL Jacob
33,Another Love,Tom Odell
34,Qlona,Karol G & Peso Pluma
35,The Night We Met,Lord Huron
36,Standing Next To You,Jung Kook
37,Houdini,Dua Lipa
38,Calm Down,Rema & Selena Gomez
39,Last Night,Morgan Wallen
40,Sweater Weather,The Neighbourhood
41,Texas Hold 'Em,Beyonce
42,Something In The Orange,Zach Bryan
43,Blinding Lights,The Weeknd
44,What Was I Made For?,Billie Eilish
45,Like That,"Future, Metro Boomin & Kendrick Lamar"
46,Someone You Loved,Lewis Capaldi
47,Kill Bill,SZA
48,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
49,I Wanna Be Yours,Arctic Monkeys
50,Austin,Dasha
51,Starboy,The Weeknd Featuring Daft Punk
52,Perro Negro,Bad Bunny & Feid
53,FE!N,Travis Scott Featuring Playboi Carti
54,Perfect,Ed Sheeran
55,I'm Good (Blue),David Guetta & Bebe Rexha
56,Until I Found You,Stephen Sanchez
57,Daylight,David Kushner
58,Viva La Vida,Coldplay
59,La Diabla,Xavi
60,Vampire,Olivia Rodrigo
61,Magnetic,ILLIT
62,I Ain't Worried,OneRepublic
63,Anti-Hero,Taylor Swift
64,Lover,Taylor Swift
65,Take On Me,a-ha
